iter	Passed	Remaining
560	7023	5496
561	7038	5485
562	7052	5474
563	7067	5463
564	7079	5450
565	7091	5437
566	7106	5427
567	7123	5418
568	7138	5407
569	7153	5396
570	7168	5385
571	7180	5372
572	7189	5357
573	7201	5344
574	7212	5331
575	7227	5320
576	7235	5304
577	7246	5290
578	7257	5276
579	7266	5262
580	7277	5248
581	7285	5232
582	7303	5224
583	7313	5209
584	7323	5195
585	7332	5180
586	7342	5165
587	7351	5150
588	7383	5151
589	7408	5148
590	7431	5142
591	7441	5128
592	7451	5114
593	7462	5100
594	7473	5087
595	7482	5072
596	7493	5058
597	7502	5043
598	7524	5037
599	7534	5022
600	7544	5008
601	7554	4994
602	7564	4980
603	7575	4966
604	7589	4955
605	7601	4942
606	7616	4930
607	7626	4917
608	7638	4903
609	7647	4889
610	7658	4875
611	7668	4861
612	7678	4847
613	7694	4837
614	7705	4823
615	7724	4815
616	7734	4800
617	7748	4789
618	7762	4777
619	7773	4764
620	7784	4750
621	7794	4736
622	7805	4723
623	7815	4709
624	7827	4696
625	7839	4683
626	7852	4671
627	7861	4656
628	7872	4643
629	7880	4628
630	7890	4614
631	7901	4601
632	7911	4586
633	7923	4573
634	7934	4560
635	7945	4547
636	7956	4534
637	7969	4521
638	7978	4507
639	7989	4493
640	7999	4480
641	8041	4483
642	8054	4471
643	8070	4461
644	8080	4447
645	8090	4433
646	8100	4419
647	8109	4404
648	8119	4391
649	8131	4378
650	8141	4364
651	8152	4351
652	8162	4337
653	8171	4323
654	8181	4309
655	8190	4295
656	8201	4281
657	8212	4268
658	8221	4253
659	8230	4240
660	8239	4225
661	8250	4212
662	8262	4199
663	8272	4185
664	8282	4172
665	8294	4159
666	8304	4145
667	8314	4132
668	8324	4118
669	8340	4107
670	8357	4097
671	8367	4083
672	8377	4070
673	8388	4057
674	8400	4044
675	8411	4031
676	8434	4024
677	8447	4012
678	8460	3999
679	8471	3986
680	8483	3973
681	8496	3961
682	8508	3948
683	8547	3949
684	8561	3936
685	8572	3923
686	8585	3911
687	8600	3900
688	8616	3889
689	8631	3878
690	8648	3867
691	8660	3854
692	8671	3841
693	8683	3828
694	8694	3815
695	8709	3803
696	8718	3790
697	8730	3777
698	8744	3765
699	8756	3752
700	8765	3738
